"nazwisko","party","votes_2007","votes_2011","percent_2007","percent_2011","position_2007","position_2011","mandate_2007","mandate_2011","district","l_os_lista2007","l_os_lista2011","o_ile","o_ile_procent","id","gender","mandat_2007","liczba","liczba_osob","partia_dummy","position_change_new"
"JASTRZĘBSKI Leszek Andrzej",2,2367,3075,0.21,0.3,38,40,1,2,19,38,40,-2,0.09,531,0,1,1,180,0,2
"DZIEDZICZAK Jan Michał",1,24809,15954,24.25,4.71,1,3,1,1,36,24,23,-2,-19.54,95,0,1,1,180,1,2
"WOJTKIEWICZ Michał Jan",1,13396,9403,4.76,3.65,3,5,1,1,15,18,18,-2,-1.11,354,0,1,1,180,1,2
"MIODOWICZ Konstanty",2,33229,14202,24.64,3.28,1,2,1,1,33,32,32,-1,-21.36,206,0,1,1,180,0,2
"CYPRYŚ Jerzy",1,6139,7873,2.57,1.72,14,30,2,2,23,30,30,-16,-0.85,13,0,0,1,180,1,2
"DERA Andrzej Mikołaj",1,13190,17606,12.89,5.2,3,4,1,1,36,24,23,-1,-7.69,94,0,1,1,180,1,2
"BURDZY Sebastian Robert",2,1234,1073,0.22,0.22,14,16,2,2,3,28,28,-2,0,422,0,0,1,180,0,2
"LISS Andrzej Marcelin",1,1886,1518,1.47,0.37,4,7,2,2,25,24,23,-3,-1.1,33,0,0,1,180,1,2
"FALFUS Jacek Eugeniusz",1,18814,11391,15.41,3.66,2,3,1,1,27,18,18,-1,-11.75,42,0,1,1,180,1,2
"KARPIŃSKI Włodzimierz Witold",2,16873,16498,3.36,3.59,2,3,1,1,6,30,30,-1,0.23,442,0,1,1,180,0,2
"DZIĄG Leszek Jan",2,2414,1361,2.41,0.7,7,10,2,2,34,16,16,-3,-1.71,212,0,0,1,180,0,2
"PAKUŁA-SACHARCZUK Anna Zofia",1,9033,1127,3.79,0.25,3,13,2,2,23,30,30,-10,-3.54,17,1,0,1,180,1,2
"DZIĘCIOŁ Janusz",2,19807,13907,5.04,3.95,4,26,1,1,5,26,26,-22,-1.09,436,0,1,1,180,0,2
"RABA Norbert Łukasz",2,4306,3364,0.77,0.68,8,11,1,2,3,28,28,-3,-0.09,419,0,1,1,180,0,2
"LIPIŃSKI Dariusz",2,20695,8895,7.88,2.22,2,4,1,2,39,20,20,-2,-5.66,245,0,1,1,180,0,2
"WILK Wojciech",2,9079,7772,1.81,1.69,3,4,1,2,6,30,30,-1,-0.12,443,0,1,1,180,0,2
"GOWIN Jarosław",2,160465,62570,28.58,12.35,1,3,1,1,13,25,28,-2,-16.23,487,0,1,1,180,0,2
"KU__MIŃSKI Wojciech Andrzej",2,4312,781,2,0.2,6,16,2,2,41,26,23,-10,-1.8,258,0,0,1,180,0,2
"PASEK Tomasz Dariusz",2,3165,2860,2.17,1.02,10,11,2,2,32,18,18,-1,-1.15,199,0,0,1,180,0,2
"RYDER Zdzisław",1,2424,1600,4.55,0.74,7,9,2,2,40,16,16,-2,-3.81,113,0,0,1,180,1,2
"PAHL Witold",2,14135,7235,3.59,2.17,3,17,1,1,8,23,24,-14,-1.42,456,0,1,1,180,0,2
"PASTUSZEWSKI Stefan Marian",1,2755,1382,0.66,0.38,18,19,2,2,4,24,24,-1,-0.28,278,0,0,1,180,1,2
"KOPEĆ Andrzej Robert",2,2581,4155,1.5,1.3,17,24,2,2,21,26,24,-7,-0.2,121,0,0,1,180,0,2
"KŁAK Krzysztof",2,5926,3291,6.12,1.1,5,22,2,2,22,22,22,-17,-5.02,128,0,0,1,180,0,2
"WOJDALSKI Janusz Andrzej",1,654,410,0.06,0.04,32,35,2,2,19,38,40,-3,-0.02,392,0,0,1,180,1,2
"PIOTROWICZ Zbigniew",2,1744,3227,0.64,1.43,10,16,2,2,2,15,16,-6,0.79,413,0,0,1,180,0,2
"GIBAŁA Łukasz",2,11413,18583,2.03,3.67,12,19,1,1,13,25,28,-7,1.64,492,0,1,1,180,0,2
"KOŁAKOWSKI Robert Jerzy",1,9213,9314,3,3.37,3,4,1,1,16,20,20,-1,0.37,362,0,1,1,180,1,2
"POLAK Katarzyna Maria",1,1271,617,0.11,0.06,12,30,2,2,19,38,40,-18,-0.05,387,1,0,1,180,1,2
"BARTOSZEWSKI Tadeusz Waldemar",1,2787,687,0.66,0.19,8,19,2,2,9,20,20,-11,-0.47,312,0,0,1,180,1,2
"KRAKOWIAK Jan Jerzy",2,3755,3296,0.89,0.91,8,9,2,2,9,20,20,-1,0.02,465,0,0,1,180,0,2
"SZYMAŃSKI Sławomir Andrzej",1,3378,1423,0.86,0.4,8,20,2,2,5,26,26,-12,-0.46,283,0,0,1,180,1,2
"ŚLIWICKI Adam Wojciech",1,3257,765,2.43,0.17,10,13,2,2,26,28,28,-3,-2.26,41,0,0,1,180,1,2
"TYSZKIEWICZ Robert",2,30971,10465,20.75,2.44,1,3,1,1,24,30,28,-2,-18.31,148,0,1,1,180,0,2
"RZYMEŁKA Jan Antoni",2,8958,7821,3.86,1.94,4,7,2,2,31,23,24,-3,-1.92,195,0,0,1,180,0,2
"PRUŚ Sylwester Zbigniew",2,3211,1940,1.24,0.47,17,23,2,2,25,24,24,-6,-0.77,159,0,0,1,180,0,2
"CHMIELEWSKI Stanisław Marcin",2,8102,5685,6.47,2.19,3,4,1,2,38,18,18,-1,-4.28,235,0,1,1,180,0,2
"ŻYLIŃSKI Adam Jacek",2,11835,6588,11.84,3.37,4,8,1,2,34,16,16,-4,-8.47,216,0,1,1,180,0,2
"KRUPA Adam",2,8122,8323,4.73,2.6,6,7,1,2,21,26,24,-1,-2.13,123,0,1,1,180,0,2
"KURIATA Jan",2,7363,3070,6.51,1.43,6,7,1,2,40,16,16,-1,-5.08,251,0,1,1,180,0,2
"JACHYMIAK Maciej",2,5288,2972,1.78,1.07,6,7,2,2,14,18,20,-1,-0.71,498,0,0,1,180,0,2
"BORCZ Jerzy",2,7714,5782,7.97,1.94,4,6,2,2,22,22,22,-2,-6.03,127,0,0,1,180,0,2
"BOKUN Henryk Jerzy",1,1029,891,1.93,0.41,8,10,2,2,40,16,16,-2,-1.52,110,0,0,1,180,1,2
"SELLIN Jarosław Daniel",1,18167,9932,13.58,2.19,2,4,1,1,26,28,28,-2,-11.39,38,0,1,1,180,1,2
"IWICKI Piotr",1,2532,2024,0.55,0.45,14,15,2,2,20,22,24,-1,-0.1,398,0,0,1,180,1,2
"MARIANOWSKA Barbara",1,21654,5541,7.7,2.15,1,3,1,2,15,18,18,-2,-5.55,352,1,1,1,180,1,2
"ORŁOWSKI Paweł",2,5807,8891,2.25,2.14,9,10,2,2,25,24,24,-1,-0.11,157,0,0,1,180,0,2
"GAŁAŻEWSKI Andrzej Józef",2,33766,11746,20.63,4.18,1,2,1,1,29,20,18,-1,-16.45,181,0,1,1,180,0,2
"WRÓBEL Marzena Dorota",1,13159,11738,4.62,4.54,2,4,1,1,17,18,18,-2,-0.0800000000000001,370,1,1,1,180,1,2
"JASIŃSKI Janusz",2,2832,2397,0.74,0.71,6,7,2,2,11,24,24,-1,-0.03,477,0,0,1,180,0,2
"KONWIŃSKI Zbigniew Marek",2,19553,18548,7.6,4.09,5,6,1,1,26,28,28,-1,-3.51,164,0,1,1,180,0,2
"GWIAZDOWSKI Kazimierz",1,7545,6275,4.21,1.46,6,8,1,2,24,30,28,-2,-2.75,23,0,1,1,180,1,2
"ŻALEK Jacek",2,9560,8103,6.4,1.89,15,27,1,1,24,30,28,-12,-4.51,149,0,1,1,180,0,2
"NOWAK Adam",2,4428,2913,1.72,0.64,16,17,2,2,26,28,28,-1,-1.08,166,0,0,1,180,0,2
"JURZAK Jarosław Ludwik",1,3317,2132,1.24,0.89,5,6,2,2,12,16,16,-1,-0.35,331,0,0,1,180,1,2
"REDZIMSKI Leszek Andrzej",2,7701,7480,2.99,1.65,10,13,2,2,26,28,28,-3,-1.34,168,0,0,1,180,0,2
"RYBKA Robert Zdzisław",1,3339,828,1.19,0.32,12,14,2,2,15,18,18,-2,-0.87,356,0,0,1,180,1,2
"CZAPIGA Cezary Józef",2,1332,912,0.92,0.29,7,13,2,2,27,18,18,-6,-0.63,169,0,0,1,180,0,2
"SIARKA Edward",1,15697,13264,5.27,4.76,3,5,1,1,14,18,20,-2,-0.51,343,0,1,1,180,1,2
"WAŚKO Piotr Roman",2,6260,4327,5,1.66,4,6,1,2,38,18,18,-2,-3.34,240,0,1,1,180,0,2
"PIEROŃCZYK Marcin Tomasz",1,966,944,0.65,0.23,16,17,2,2,31,24,24,-1,-0.42,65,0,0,1,180,1,2
"ROSZAK Grzegorz Michał",2,6217,2625,1.48,0.71,5,6,1,2,4,24,24,-1,-0.77,429,0,1,1,180,0,2
"DĄBROWSKA Jolanta",2,4361,3034,2.66,1.08,9,10,2,2,29,20,18,-1,-1.58,180,1,0,1,180,0,2
